Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
16;40;45;20.000;Awful;;;
17;60;50;20.000;Awful;;;
18;40;50;20.000;Awful;;;
19;40;40;20.000;Awful;;;
20;60;50;20.000;Awful;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;70;70;4.180;Low;;;
2;80;75;4.264;Low;;;
3;80;80;4.349;Low;;;
4;80;80;4.436;Low;;;
5;80;80;4.525;Low;;;
6;60;70;4.887;Low;;;
7;100;80;4.887;Low;;;
8;90;95;4.935;Low;;;
9;90;90;4.985;Low;;;
10;110;100;4.935;Low;;;
11;70;90;5.157;Low;;;
12;100;85;5.157;Low;;;
13;90;95;5.209;Low;;;
14;90;90;5.261;Low;;;
15;90;90;5.313;Low;;;
16;80;85;5.420;Low;;;
17;80;80;5.528;Low;;;
18;80;80;5.638;Low;;;
19;90;85;5.695;Low;;;
20;90;90;5.752;Low;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;90;90;4.040;Average;;;
2;110;100;4.000;Average;;;
3;100;105;4.000;Average;;;
4;110;105;3.960;Average;;;
5;110;110;3.920;Average;;;
6;120;115;3.842;Average;;;
7;120;120;3.765;Average;;;
8;120;120;3.689;Average;;;
9;130;125;3.523;Average;;;
10;100;115;3.523;Average;;;
11;100;100;3.523;Average;;;
12;110;105;3.488;Average;;;
13;110;110;3.453;Average;;;
14;110;110;3.419;Average;;;
15;90;100;3.453;Average;;;
16;120;105;3.384;Average;;;
17;110;115;3.350;Average;;;
18;120;115;3.283;Average;;;
19;100;110;3.283;Average;;;
20;110;105;3.250;Average;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;130;130;3.820;High;;;
2;130;130;3.648;High;;;
3;140;135;3.356;High;;;
4;130;135;3.205;High;;;
5;120;125;3.141;High;;;
6;150;135;2.748;High;;;
7;150;150;2.405;High;;;
8;120;135;2.357;High;;;
9;120;120;2.310;High;;;
10;110;115;2.287;High;;;
11;110;110;2.264;High;;;
12;120;115;2.218;High;;;
13;110;115;2.196;High;;;
14;100;105;2.196;High;;;
15;110;105;2.174;High;;;
16;120;115;2.131;High;;;
17;110;115;2.110;High;;;
18;120;115;2.067;High;;;
19;110;115;2.047;High;;;
20;130;120;1.955;High;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;180;180;2.720;Expert;;;
2;160;170;2.230;Expert;;;
3;150;155;1.952;Expert;;;
4;120;135;1.913;Expert;;;
5;150;135;1.673;Expert;;;
6;130;140;1.598;Expert;;;
7;110;120;1.582;Expert;;;
8;120;115;1.551;Expert;;;
9;90;105;1.566;Expert;;;
10;130;110;1.496;Expert;;;
11;100;115;1.496;Expert;;;
12;110;105;1.481;Expert;;;
13;100;105;1.481;Expert;;;
14;130;115;1.414;Expert;;;
15;100;115;1.414;Expert;;;
16;100;100;1.414;Expert;;;
17;100;100;1.414;Expert;;;
18;110;105;1.400;Expert;;;
19;110;110;1.386;Expert;;;
20;120;115;1.358;Expert;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;30;30;5.260;Awful;;;
2;30;0;6.917;Awful;;;
3;30;5;9.096;Awful;;;
4;30;30;11.961;Awful;;;
5;40;30;14.831;Awful;;;
6;50;20;17.427;Awful;;;
7;50;35;20.000;Awful;;;
8;60;40;20.000;Awful;;;
9;50;40;20.000;Awful;;;
10;50;35;20.000;Awful;;;
11;50;35;20.000;Awful;;;
12;50;40;20.000;Awful;;;
13;60;35;20.000;Awful;;;
14;50;35;20.000;Awful;;;
15;50;50;20.000;Awful;;;
16;60;55;20.000;Awful;;;
17;60;40;20.000;Awful;;;
18;50;45;20.000;Awful;;;
19;50;55;20.000;Awful;;;
20;50;50;20.000;Awful;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;50;50;4.700;Low;;;
2;70;90;5.053;Low;;;
3;70;90;5.431;Low;;;
4;100;80;5.431;Low;;;
5;110;80;5.323;Low;;;
6;80;85;5.536;Low;;;
7;90;85;5.646;Low;;;
8;90;85;5.759;Low;;;
9;90;85;5.875;Low;;;
10;90;85;5.992;Low;;;
11;100;80;5.992;Low;;;
12;90;75;6.112;Low;;;
13;100;90;6.112;Low;;;
14;110;90;5.990;Low;;;
15;100;85;5.990;Low;;;
16;90;90;6.109;Low;;;
17;100;95;6.109;Low;;;
18;110;95;5.987;Low;;;
19;100;95;6.436;Low;;;
20;110;85;6.308;Low;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;90;90;4.080;Average;;;
2;120;85;3.917;Average;;;
3;110;90;3.838;Average;;;
4;90;105;3.915;Average;;;
5;110;115;3.837;Average;;;
6;130;115;3.549;Average;;;
7;110;110;3.478;Average;;;
8;110;120;3.409;Average;;;
9;110;120;3.340;Average;;;
10;90;110;3.407;Average;;;
11;110;110;3.339;Average;;;
12;100;105;3.339;Average;;;
13;130;100;3.089;Average;;;
14;80;105;3.212;Average;;;
15;120;105;3.084;Average;;;
16;120;110;2.960;Average;;;
17;90;120;3.020;Average;;;
18;90;125;3.080;Average;;;
19;80;115;3.203;Average;;;
20;100;95;3.203;Average;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;140;140;3.520;High;;;
2;100;140;3.520;High;;;
3;120;140;3.379;High;;;
4;140;140;2.974;High;;;
5;140;140;2.617;High;;;
6;110;125;2.565;High;;;
7;130;140;2.372;High;;;
8;140;155;2.088;High;;;
9;120;140;2.004;High;;;
10;100;130;2.004;High;;;
11;120;135;1.924;High;;;
12;110;135;1.885;High;;;
13;110;125;1.848;High;;;
14;100;115;1.848;High;;;
15;100;120;1.848;High;;;
16;100;125;1.848;High;;;
17;100;115;1.848;High;;;
18;100;115;1.848;High;;;
19;100;120;1.848;High;;;
20;120;115;1.774;High;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;170;170;2.740;Expert;;;
2;160;160;2.082;Expert;;;
3;170;175;1.426;Expert;;;
4;100;190;1.426;Expert;;;
5;120;190;1.369;Expert;;;
6;110;180;1.342;Expert;;;
7;100;185;1.342;Expert;;;
8;120;180;1.288;Expert;;;
9;110;170;1.263;Expert;;;
10;100;160;1.263;Expert;;;
11;100;155;1.263;Expert;;;
12;110;150;1.237;Expert;;;
13;100;130;1.237;Expert;;;
14;100;130;1.237;Expert;;;
15;100;145;1.237;Expert;;;
16;110;130;1.213;Expert;;;
17;100;110;1.213;Expert;;;
18;100;115;1.213;Expert;;;
19;100;115;1.213;Expert;;;
20;100;105;1.213;Expert;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;0;0;6.400;Awful;;;
2;40;0;7.936;Awful;;;
3;40;5;9.841;Awful;;;
4;40;30;12.202;Awful;;;
5;50;30;14.338;Awful;;;
6;40;20;17.779;Awful;;;
7;60;35;19.912;Awful;;;
8;40;40;20.000;Awful;;;
9;60;40;20.000;Awful;;;
10;50;35;20.000;Awful;;;
11;50;35;20.000;Awful;;;
12;50;40;20.000;Awful;;;
13;60;35;20.000;Awful;;;
14;30;35;20.000;Awful;;;
15;30;50;20.000;Awful;;;
16;40;55;20.000;Awful;;;
17;40;40;20.000;Awful;;;
18;50;45;20.000;Awful;;;
19;50;55;20.000;Awful;;;
20;50;50;20.000;Awful;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;40;40;4.960;Low;;;
2;70;90;5.332;Low;;;
3;70;90;5.732;Low;;;
4;90;80;5.847;Low;;;
5;90;80;5.963;Low;;;
6;80;85;6.202;Low;;;
7;90;85;6.326;Low;;;
8;90;85;6.453;Low;;;
9;90;85;6.582;Low;;;
10;70;85;7.075;Low;;;
11;100;80;7.075;Low;;;
12;110;75;6.934;Low;;;
13;90;90;7.072;Low;;;
14;100;90;7.072;Low;;;
15;100;85;7.072;Low;;;
16;80;90;7.355;Low;;;
17;100;95;7.355;Low;;;
18;100;95;7.355;Low;;;
19;90;95;7.502;Low;;;
20;90;85;7.652;Low;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;90;90;4.080;Average;;;
2;90;85;4.162;Average;;;
3;90;90;4.245;Average;;;
4;100;105;4.245;Average;;;
5;110;115;4.160;Average;;;
6;100;115;4.160;Average;;;
7;90;110;4.243;Average;;;
8;110;120;4.158;Average;;;
9;100;120;4.158;Average;;;
10;110;110;4.075;Average;;;
11;110;110;3.994;Average;;;
12;120;105;3.834;Average;;;
13;90;100;3.911;Average;;;
14;120;105;3.754;Average;;;
15;100;105;3.754;Average;;;
16;110;110;3.679;Average;;;
17;120;120;3.532;Average;;;
18;100;125;3.532;Average;;;
19;100;115;3.532;Average;;;
20;110;95;3.461;Average;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;120;120;3.840;High;;;
2;130;140;3.552;High;;;
3;90;140;3.623;High;;;
4;120;140;3.478;High;;;
5;120;140;3.339;High;;;
6;130;125;3.089;High;;;
7;130;140;2.857;High;;;
8;110;155;2.800;High;;;
9;130;140;2.590;High;;;
10;110;130;2.538;High;;;
11;130;135;2.348;High;;;
12;120;135;2.254;High;;;
13;130;125;2.085;High;;;
14;100;115;2.085;High;;;
15;100;120;2.085;High;;;
16;90;125;2.126;High;;;
17;120;115;2.041;High;;;
18;110;115;2.001;High;;;
19;110;120;1.961;High;;;
20;110;115;1.921;High;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;120;120;3.840;Expert;;;
2;150;160;3.168;Expert;;;
3;120;175;3.041;Expert;;;
4;130;190;2.813;Expert;;;
5;150;190;2.321;Expert;;;
6;140;180;2.042;Expert;;;
7;110;185;2.002;Expert;;;
8;120;180;1.921;Expert;;;
9;120;170;1.845;Expert;;;
10;110;160;1.808;Expert;;;
11;110;155;1.772;Expert;;;
12;110;150;1.736;Expert;;;
13;100;130;1.736;Expert;;;
14;100;130;1.736;Expert;;;
15;120;145;1.667;Expert;;;
16;100;130;1.667;Expert;;;
17;100;110;1.667;Expert;;;
18;90;115;1.700;Expert;;;
19;100;115;1.700;Expert;;;
20;110;105;1.666;Expert;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;40;40;4.960;Awful;;;
2;20;0;6.944;Awful;;;
3;20;5;9.722;Awful;;;
4;30;30;12.784;Awful;;;
5;50;30;15.021;Awful;;;
6;30;20;19.753;Awful;;;
7;60;35;20.000;Awful;;;
8;40;40;20.000;Awful;;;
9;50;40;20.000;Awful;;;
10;40;35;20.000;Awful;;;
11;50;35;20.000;Awful;;;
12;60;40;20.000;Awful;;;
13;40;35;20.000;Awful;;;
14;40;35;20.000;Awful;;;
15;50;50;20.000;Awful;;;
16;50;55;20.000;Awful;;;
17;40;40;20.000;Awful;;;
18;50;45;20.000;Awful;;;
19;50;55;20.000;Awful;;;
20;40;50;20.000;Awful;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;80;80;4.160;Low;;;
2;80;90;4.326;Low;;;
3;70;90;4.651;Low;;;
4;70;80;5.000;Low;;;
5;70;80;5.375;Low;;;
6;80;85;5.590;Low;;;
7;80;85;5.813;Low;;;
8;90;85;5.930;Low;;;
9;90;85;6.048;Low;;;
10;100;85;6.048;Low;;;
11;100;80;6.048;Low;;;
12;90;75;6.169;Low;;;
13;90;90;6.292;Low;;;
14;100;90;6.292;Low;;;
15;90;85;6.418;Low;;;
16;90;90;6.547;Low;;;
17;90;95;6.678;Low;;;
18;100;95;6.678;Low;;;
19;90;95;6.811;Low;;;
20;90;85;6.947;Low;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;100;100;4.000;Average;;;
2;90;85;4.080;Average;;;
3;100;90;4.080;Average;;;
4;100;105;4.080;Average;;;
5;100;115;4.080;Average;;;
6;110;115;3.998;Average;;;
7;120;110;3.838;Average;;;
8;100;120;3.838;Average;;;
9;110;120;3.762;Average;;;
10;100;110;3.762;Average;;;
11;100;110;3.762;Average;;;
12;130;105;3.480;Average;;;
13;100;100;3.480;Average;;;
14;100;105;3.480;Average;;;
15;120;105;3.340;Average;;;
16;100;110;3.340;Average;;;
17;100;120;3.340;Average;;;
18;110;125;3.274;Average;;;
19;80;115;3.405;Average;;;
20;110;95;3.336;Average;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;130;130;3.700;High;;;
2;120;140;3.552;High;;;
3;130;140;3.286;High;;;
4;110;140;3.220;High;;;
5;110;140;3.155;High;;;
6;120;125;3.029;High;;;
7;130;140;2.802;High;;;
8;130;155;2.592;High;;;
9;120;140;2.488;High;;;
10;110;130;2.438;High;;;
11;110;135;2.390;High;;;
12;120;135;2.294;High;;;
13;110;125;2.248;High;;;
14;130;115;2.080;High;;;
15;130;120;1.924;High;;;
16;110;125;1.885;High;;;
17;110;115;1.847;High;;;
18;100;115;1.847;High;;;
19;110;120;1.811;High;;;
20;110;115;1.774;High;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;170;170;2.740;Expert;;;
2;120;160;2.630;Expert;;;
3;160;175;1.999;Expert;;;
4;120;190;1.919;Expert;;;
5;120;190;1.842;Expert;;;
6;120;180;1.769;Expert;;;
7;120;185;1.698;Expert;;;
8;120;180;1.630;Expert;;;
9;110;170;1.597;Expert;;;
10;120;160;1.534;Expert;;;
11;110;155;1.503;Expert;;;
12;110;150;1.473;Expert;;;
13;100;130;1.473;Expert;;;
14;110;130;1.443;Expert;;;
15;100;145;1.443;Expert;;;
16;100;130;1.443;Expert;;;
17;120;110;1.386;Expert;;;
18;100;115;1.386;Expert;;;
19;100;115;1.386;Expert;;;
20;100;105;1.386;Expert;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;30;30;5.260;Awful;;;
2;40;0;6.522;Awful;;;
3;20;5;9.131;Awful;;;
4;30;30;12.008;Awful;;;
5;40;30;14.890;Awful;;;
6;60;20;16.676;Awful;;;
7;40;35;20.000;Awful;;;
8;50;40;20.000;Awful;;;
9;60;40;20.000;Awful;;;
10;50;35;20.000;Awful;;;
11;60;35;20.000;Awful;;;
12;40;40;20.000;Awful;;;
13;40;35;20.000;Awful;;;
14;50;35;20.000;Awful;;;
15;50;50;20.000;Awful;;;
16;50;55;20.000;Awful;;;
17;60;40;20.000;Awful;;;
18;60;45;20.000;Awful;;;
19;40;55;20.000;Awful;;;
20;40;50;20.000;Awful;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;30;30;5.260;Low;;;
2;60;90;5.891;Low;;;
3;60;90;6.598;Low;;;
4;60;80;7.390;Low;;;
5;90;80;7.538;Low;;;
6;80;85;7.839;Low;;;
7;70;85;8.427;Low;;;
8;70;85;9.059;Low;;;
9;70;85;9.739;Low;;;
10;80;85;10.128;Low;;;
11;80;80;10.533;Low;;;
12;80;75;10.955;Low;;;
13;80;90;11.393;Low;;;
14;70;90;12.247;Low;;;
15;60;85;13.717;Low;;;
16;70;90;14.746;Low;;;
17;70;95;15.852;Low;;;
18;90;95;16.169;Low;;;
19;80;95;16.815;Low;;;
20;90;85;17.152;Low;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;100;100;4.000;Average;;;
2;90;85;4.080;Average;;;
3;90;90;4.162;Average;;;
4;90;105;4.245;Average;;;
5;90;115;4.330;Average;;;
6;100;115;4.330;Average;;;
7;90;110;4.416;Average;;;
8;100;120;4.416;Average;;;
9;100;120;4.416;Average;;;
10;110;110;4.328;Average;;;
11;90;110;4.415;Average;;;
12;100;105;4.415;Average;;;
13;90;100;4.503;Average;;;
14;120;105;4.323;Average;;;
15;110;105;4.236;Average;;;
16;100;110;4.236;Average;;;
17;100;120;4.236;Average;;;
18;100;125;4.236;Average;;;
19;90;115;4.321;Average;;;
20;100;95;4.321;Average;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;110;110;3.920;High;;;
2;120;140;3.763;High;;;
3;120;140;3.613;High;;;
4;110;140;3.540;High;;;
5;120;140;3.399;High;;;
6;110;125;3.331;High;;;
7;100;140;3.331;High;;;
8;100;155;3.331;High;;;
9;140;140;2.931;High;;;
10;120;130;2.814;High;;;
11;130;135;2.603;High;;;
12;100;135;2.603;High;;;
13;90;125;2.655;High;;;
14;90;115;2.708;High;;;
15;130;120;2.505;High;;;
16;110;125;2.455;High;;;
17;100;115;2.455;High;;;
18;100;115;2.455;High;;;
19;110;120;2.406;High;;;
20;110;115;2.358;High;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;160;160;3.040;Expert;;;
2;150;160;2.508;Expert;;;
3;140;175;2.207;Expert;;;
4;130;190;2.042;Expert;;;
5;120;190;1.960;Expert;;;
6;130;180;1.813;Expert;;;
7;100;185;1.813;Expert;;;
8;100;180;1.813;Expert;;;
9;100;170;1.813;Expert;;;
10;110;160;1.777;Expert;;;
11;120;155;1.706;Expert;;;
12;100;150;1.706;Expert;;;
13;100;130;1.706;Expert;;;
14;110;130;1.671;Expert;;;
15;110;145;1.638;Expert;;;
16;100;130;1.638;Expert;;;
17;100;110;1.638;Expert;;;
18;100;115;1.638;Expert;;;
19;120;115;1.572;Expert;;;
20;100;105;1.572;Expert;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;0;0;6.400;Awful;;;
2;20;0;8.960;Awful;;;
3;20;5;12.544;Awful;;;
4;40;30;15.555;Awful;;;
5;50;30;18.277;Awful;;;
6;50;20;20.000;Awful;;;
7;60;35;20.000;Awful;;;
8;50;40;20.000;Awful;;;
9;40;40;20.000;Awful;;;
10;40;35;20.000;Awful;;;
11;50;35;20.000;Awful;;;
12;40;40;20.000;Awful;;;
13;60;35;20.000;Awful;;;
14;60;35;20.000;Awful;;;
15;40;50;20.000;Awful;;;
16;60;55;20.000;Awful;;;
17;70;40;20.000;Awful;;;
18;60;45;20.000;Awful;;;
19;40;55;20.000;Awful;;;
20;50;50;20.000;Awful;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;50;50;4.700;Low;;;
2;50;90;5.523;Low;;;
3;70;90;5.937;Low;;;
4;70;80;6.382;Low;;;
5;80;80;6.637;Low;;;
6;70;85;7.135;Low;;;
7;70;85;7.670;Low;;;
8;60;85;8.591;Low;;;
9;70;85;9.235;Low;;;
10;80;85;9.604;Low;;;
11;70;80;10.325;Low;;;
12;80;75;10.738;Low;;;
13;90;90;10.952;Low;;;
14;90;90;11.171;Low;;;
15;80;85;11.618;Low;;;
16;70;90;12.490;Low;;;
17;80;95;12.989;Low;;;
18;80;95;13.509;Low;;;
19;60;95;15.130;Low;;;
20;90;85;15.432;Low;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;80;80;4.160;Average;;;
2;70;85;4.472;Average;;;
3;70;90;4.807;Average;;;
4;90;105;4.904;Average;;;
5;80;115;5.100;Average;;;
6;90;115;5.202;Average;;;
7;80;110;5.410;Average;;;
8;70;120;5.815;Average;;;
9;80;120;6.048;Average;;;
10;90;110;6.169;Average;;;
11;100;110;6.169;Average;;;
12;70;105;6.632;Average;;;
13;110;100;6.499;Average;;;
14;80;105;6.759;Average;;;
15;100;105;6.759;Average;;;
16;90;110;6.894;Average;;;
17;100;120;6.894;Average;;;
18;100;125;6.894;Average;;;
19;90;115;7.032;Average;;;
20;90;95;7.173;Average;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;100;100;4.000;High;;;
2;130;140;3.700;High;;;
3;90;140;3.774;High;;;
4;110;140;3.699;High;;;
5;120;140;3.551;High;;;
6;110;125;3.480;High;;;
7;90;140;3.549;High;;;
8;120;155;3.407;High;;;
9;100;140;3.407;High;;;
10;100;130;3.407;High;;;
11;110;135;3.339;High;;;
12;110;135;3.272;High;;;
13;100;125;3.272;High;;;
14;100;115;3.272;High;;;
15;120;120;3.141;High;;;
16;100;125;3.141;High;;;
17;90;115;3.204;High;;;
18;90;115;3.268;High;;;
19;90;120;3.334;High;;;
20;90;115;3.400;High;;;
Iteration;Final Score;Average Score;Active Sphere Time;Skill level;;;
1;120;120;3.840;Expert;;;
2;120;160;3.686;Expert;;;
3;130;175;3.410;Expert;;;
4;110;190;3.342;Expert;;;
5;110;190;3.275;Expert;;;
6;130;180;3.029;Expert;;;
7;110;185;2.969;Expert;;;
8;110;180;2.909;Expert;;;
9;140;170;2.560;Expert;;;
10;140;160;2.253;Expert;;;
11;120;155;2.163;Expert;;;
12;120;150;2.076;Expert;;;
13;110;130;2.035;Expert;;;
14;90;130;2.076;Expert;;;
15;120;145;1.992;Expert;;;
16;140;130;1.753;Expert;;;
17;100;110;1.753;Expert;;;
18;100;115;1.753;Expert;;;
19;100;115;1.753;Expert;;;
20;100;105;1.753;Expert;;;
